district,name,party,incumbent,elected,previous_terms
1,Leroy Stumpf,DFL,Incumbent,1982,
2,Rod Skoe,DFL,Incumbent,2002,
3,Tom Bakk,DFL,Incumbent,2002,
4,Kent Eken,DFL,,2012,
6,David Tomassoni,DFL,Incumbent,2000,
7,Roger Reinert,DFL,Incumbent,2010,
8,Bill Ingebrigsten,R,Incumbent,2006,
9,Paul Gazelka,R,Incumbent,2010,
10,Carrie Ruud,R,,2012,2003-2006
11,Tony Lourey,DFL,Incumbent,2006,
12,Torrey Westrom,R,,2012,
15,Dave Brown,R,Incumbent,2010,
16,Gary Dahms,R,Incumbent,2010,
18,Scott Newman,R,Incumbent,2010,
19,Kathy Sheran,DFL,Incumbent,2006,
21,Matt Schmit,DFL,,2012,
22,Bill Weber,R,,2012,
23,Julie Rosen,R,Incumbent,2002,
27,Dan Sparks,DFL,Incumbent,2002,
29,Bruce Anderson,R,,2012,
30,Mary Kiffmeyer,R,,2012,
31,Michelle Benson,R,Incumbent,2010,
33,David Osmek,R,,2012,
34,Warren Limmer,R,Incumbent,1995,
35,Branden Petersen,R,,2012,
38,Roger Chamberlain,R,Incumbent,2010,
39,Karin Housley,R,,2012,
40,Chris Eaton,DFL,Incumbent,2011,
41,Barb Goodwin,DFL,Incumbent,2010,
42,Bev Scalze,DFL,,2012,
43,Charles Wiger,DFL,Incumbent,1996,
45,Ann Rest,DFL,Incumbent,2000,
46,Ron Latz,DFL,Incumbent,2006,
47,Julianne Ortman,R,Incumbent,2002,
48,David Hann,R,Incumbent,2002,
49,Melissa Franzen,DFL,,2012,
50,Melissa Halvorson Wiklund,DFL,,2012,
52,James Metzen,DFL,Incumbent,1986,
55,Eric Pratt,R,,2012,
56,Dan Hall,R,Incumbent,2010,
57,Greg Clausen,DFL,,2012,
58,Dave Thompson,R,Incumbent,2010,
59,Bobby Joe Champion,DFL,,2012,
60,Kari Dziedzic,DFL,Incumbent,2012,
61,Scott Dibble,DFL,Incumbent,2002,
62,Jeff Hayden,DFL,Incumbent,2011,
63,Patricia Torres Ray,DFL,Incumbent,2006,
64,Richard Cohen,DFL,Incumbent,1986,
65,Sandy Pappas,DFL,Incumbent,1990,
66,John Marty,DFL,Incumbent,1986,
67,Foung Hawj,DFL,,2012,
5,Tom Saxhaug,DFL,Incumbent,2002,
14,John Pederson,R,Incumbent,2010,
17,Lyle Koenen,DFL,Incumbent,2012,
20,Kevin Dahle,DFL,,2012,2008-2010
24,Vicki Jensen,DFL,,2012,
26,Carla Nelson,R,Incumbent,2010,
28,Jeremy Miller,R,Incumbent,2010,
36,John Hoffman,DFL,,2012,
37,Alice Johnson,DFL,,2012,
44,Terri Bonoff,DFL,Incumbent,2005,
51,Jim Carlson,DFL,,2012,2007-2010
53,Susan Kent,DFL,,2012,
13,Michelle Fischbach,R,Incumbent,1996,
25,David Senjem,R,Incumbent,2002,
32,Sean Nienow,R,Incumbent,2002,
54,Katie Sieben,DFL,Incumbent,2006,
