district,name,party,incumbent,elected,previous_terms
1A,Dan Fabian,R,Incumbent,2010,
9B,Ron Kresha,R,,2012,
15A,Sondra Erickson,R,Incumbent,1998,
26B,Mike Benson,R,Incumbent,2010,
32B,Bob Barrett,R,Incumbent,2010,
37B,Tim Sanders,R,Incumbent,2008,
53B,Andrea Kieffer,R,Incumbent,2010,
2B,Steve Green,R,,2012,
3A,David Dill,DFL,Incumbent,2002,
3B,Mary Murphy,DFL,Incumbent,1976,
4A,Ben Lien,DFL,,2012,
4B,Paul Marquart,DFL,Incumbent,2000,
6A,Carly Melin,DFL,Incumbent,2011,
6B,Jason Metsa,DFL,,2012,
7A,Thomas Huntley,DFL,Incumbent,1992,
7B,Erik Simonson,DFL,,2012,
8A,Bud Nornes,R,Incumbent,1996,
8B,Mary Franson,R,Incumbent,2010,
9A,Mark Anderson,R,,2012,
10A,John Ward,DFL,Incumbent,2006,
10B,Joe Radinovich,DFL,,2012,
11A,Mike Sundin,DFL,,2012,
12A,Kay McNamar,DFL,,2012,
12B,Paul Anderson,R,Incumbent,2008,
13A,Jeff Howe,R,,2012,
13B,Tim O'Driscoll,R,Incumbent,2010,
14A,Steve Gottwalt,R,Incumbent,2006,
15B,Jim Newberger,R,,2012,
16A,Chris Swedzinski,R,Incumbent,2010,
16B,Paul Torkelson,R,Incumbent,2008,
17A,Andrew Falk,DFL,Incumbent,2008,
18A,Dean Urdahl,R,Incumbent,2002,
18B,Glenn Gruenhagen,R,Incumbent,2010,
19A,Terry Morrow,DFL,Incumbent,2006,
19B,Kathy Brynaert,DFL,Incumbent,2006,
20A,Kelby Woodard,R,Incumbent,2010,
20B,David Bly,DFL,,2012,2007-2010
21A,Timothy J. Kelly,R,Incumbent,2008,
21B,Steve Drazkowski,R,Incumbent,2007,
22A,Joe Schomacker,R,Incumbent,2010,
22B,Rod Hamilton,R,Incumbent,2004,
23A,Bob Gunther,R,Incumbent,1995,
23B,Tony Cornish,R,Incumbent,2002,
24A,John Petersburg,R,,2012,
25A,Duane Quam,R,Incumbent,2010,
25B,Kim Norton,DFL,Incumbent,2006,
26A,Tina Liebling,DFL,Incumbent,2004,
27B,Jeanne Poppe,DFL,Incumbent,2004,
28A,Gene Pelowski,DFL,Incumbent,1986,
28B,Ken Tschumper,DFL,,2012,2007-2008
29A,Joe McDonald,R,Incumbent,2010,
29B,Marion O'Neill,R,,2012,
30A,Nick Zerwas,R,,2012,
30B,David Fitzsimmons,R,,2012,
31A,Kurt Daudt,R,Incumbent,2010,
31B,Tom Hackbarth,R,Incumbent,1994,
32A,Brian Johnson,R,,2012,
33A,Jerry Hertaus,R,,2012,
33B,Cindy Pugh,R,,2012,
34A,Joyce Peppin,R,Incumbent,2004,
34B,Kurt Zellers,R,Incumbent,2003,
35A,Jim Abeler,R,Incumbent,1998,
35B,Peggy Scott,R,Incumbent,2008,
36A,Mark Uglem,R,,2012,
36B,Melissa Hortman,DFL,Incumbent,2004,
37A,Jerry Newton,DFL,,2012,2009-2010
38A,Linda Runbeck,R,Incumbent,1989,
38B,Matt Dean,R,Incumbent,2004,
39A,Bob Dettmer,R,Incumbent,2006,
40A,Michael Nelson,DFL,Incumbent,2002,
40B,Debra Hillstrom,DFL,Incumbent,2000,
41A,Connie Bernardy,DFL,,2012,2001-2006
41B,Carolyn Laine,DFL,Incumbent,2006,
42A,Barb Yarusso,DFL,,2012,
42B,Jason Isaacson,DFL,,2012,
43A,Peter Fischer,DFL,,2012,
43B,Leon Lillie,DFL,Incumbent,2004,
44A,Sarah Anderson,R,Incumbent,2006,
45A,Lyndon Carlson,DFL,Incumbent,1972,
45B,Mike Freiberg,DFL,,2012,
46A,Ryan Winkler,DFL,Incumbent,2006,
46B,Steve Simon,DFL,Incumbent,2004,
47A,Ernie Leidiger,R,Incumbent,2010,
47B,Joe Hoppe,R,Incumbent,2002,
48A,Jennifer Loon,R,Incumbent,2008,
49A,Ron Erhardt,DFL,,2012,1991-2008
50A,Linda Slocum,DFL,Incumbent,2006,
50B,Ann Lenczewski,DFL,Incumbent,1998,
52A,Rick Hansen,DFL,Incumbent,2004,
52B,Joe Atkins,DFL,Incumbent,2002,
53A,Joann Ward,DFL,,2012,
54B,Denny McNamara,R,Incumbent,2002,
55A,Mike Beard,R,Incumbent,2002,
55B,Tony Albright,R,,2012,
56A,Pam Myhra,R,Incumbent,2010,
56B,Will Morgan,DFL,,2012,2007-2010
57A,Tara Mack,R,Incumbent,2008,
57B,Anna Wills,R,,2012,
58A,Mary Liz Holberg,R,Incumbent,1998,
58B,Pat Garofalo,R,Incumbent,2004,
59A,Joe Mullery,DFL,Incumbent,1996,
59B,Raymond Dehn,DFL,,2012,
60A,Diane Loeffler,DFL,Incumbent,2004,
60B,Phyllis Kahn,DFL,Incumbent,1972,
